Duration,Demand,First Stop,Second Stop,Third Stop,Fourth Stop
13803.05,22.0,Countdown Mt Wellington,FreshChoice Half Moon Bay,,
11558.130000000001,21.0,Countdown Mt Wellington,FreshChoice Otahuhu,,
14550.6,24.0,Countdown Pakuranga,Countdown Aviemore Drive,,
12069.2,19.0,Countdown Pakuranga,Countdown Botany Downs,,
15238.84,24.0,Countdown Pakuranga,Countdown Howick,,
12474.34,19.0,Countdown Pakuranga,Countdown Meadowbank,,
14175.66,25.0,Countdown Pakuranga,Countdown Mt Wellington,,
11805.69,18.0,Countdown Pakuranga,Countdown St Johns,,
10628.04,15.0,Countdown Pakuranga,FreshChoice Half Moon Bay,,
8958.51,14.0,Countdown Pakuranga,FreshChoice Otahuhu,,
15159.06,24.0,Countdown St Johns,Countdown Aviemore Drive,,
12808.58,19.0,Countdown St Johns,Countdown Botany Downs,,
15847.29,24.0,Countdown St Johns,Countdown Howick,,
12106.04,19.0,Countdown St Johns,Countdown Meadowbank,,
14391.380000000001,25.0,Countdown St Johns,Countdown Mt Wellington,,
11644.470000000001,18.0,Countdown St Johns,Countdown Pakuranga,,
11236.5,15.0,Countdown St Johns,FreshChoice Half Moon Bay,,
9422.21,14.0,Countdown St Johns,FreshChoice Otahuhu,,
13316.17,21.0,FreshChoice Half Moon Bay,Countdown Aviemore Drive,,
11386.07,16.0,FreshChoice Half Moon Bay,Countdown Botany Downs,,
13918.23,21.0,FreshChoice Half Moon Bay,Countdown Howick,,
12066.04,16.0,FreshChoice Half Moon Bay,Countdown Meadowbank,,
13868.18,22.0,FreshChoice Half Moon Bay,Countdown Mt Wellington,,
10597.6,15.0,FreshChoice Half Moon Bay,Countdown Pakuranga,,
11397.380000000001,15.0,FreshChoice Half Moon Bay,Countdown St Johns,,
8651.03,11.0,FreshChoice Half Moon Bay,FreshChoice Otahuhu,,
12576.98,20.0,FreshChoice Otahuhu,Countdown Aviemore Drive,,
9843.3,15.0,FreshChoice Otahuhu,Countdown Botany Downs,,
13069.56,20.0,FreshChoice Otahuhu,Countdown Howick,,
9933.880000000001,15.0,FreshChoice Otahuhu,Countdown Meadowbank,,
11557.66,21.0,FreshChoice Otahuhu,Countdown Mt Wellington,,
8961.9,14.0,FreshChoice Otahuhu,Countdown Pakuranga,,
9526.86,14.0,FreshChoice Otahuhu,Countdown St Johns,,
8654.42,11.0,FreshChoice Otahuhu,FreshChoice Half Moon Bay,,
11519.84,22.0,FreshChoice Otahuhu,Countdown Mangere East,Countdown Mangere Mall,
9496.91,13.0,Countdown Auckland City,,,
8923.22,10.0,Countdown Birkenhead,,,
6652.3,9.0,Countdown Blockhouse Bay,,,
11200.95,11.0,Countdown Browns Bay,,,
9057.19,9.0,Countdown Glenfield,,,
7089.780000000001,10.0,Countdown Greenlane,,,
8231.380000000001,11.0,Countdown Grey Lynn,,,
8265.86,8.0,Countdown Hauraki Corner,,,
8606.94,10.0,Countdown Henderson,,,
9080.24,10.0,Countdown Hobsonville,,,
9824.11,14.0,Countdown Kelston,,,
8140.5,10.0,Countdown Lincoln Road,,,
6254.27,9.0,Countdown Lynfield,,,
7823.24,11.0,Countdown Lynmall,,,
10952.21,12.0,Countdown Mairangi Bay,,,
10011.0,11.0,Countdown Milford,,,
7150.4400000000005,10.0,Countdown Mt Eden,,,
6177.139999999999,9.0,Countdown Mt Roskill,,,
7236.22,9.0,Countdown Newmarket,,,
8828.49,10.0,Countdown Northcote,,,
5924.389999999999,10.0,Countdown Onehunga,,,
10357.92,16.0,Countdown Ponsonby,,,
7498.33,10.0,Countdown Pt Chevalier,,,
6191.3099999999995,8.0,Countdown St Lukes,,,
9458.98,10.0,Countdown Sunnynook,,,
8910.73,10.0,Countdown Takapuna,,,
7778.01,9.0,Countdown Te Atatu,,,
7345.5,9.0,Countdown Te Atatu South,,,
6796.88,11.0,Countdown Three Kings,,,
8479.98,11.0,Countdown Victoria Street West,,,
10703.71,15.0,Countdown Westgate,,,
5930.9400000000005,5.0,Countdown Metro Halsey Street,,,
3594.63,6.0,FreshChoice Mangere Bridge,,,
7519.9,7.0,FreshChoice Ranui,,,
7227.6,6.0,SuperValue Palomino,,,
5686.87,5.0,SuperValue Titirangi,,,
15454.07,23.0,Countdown Auckland City,Countdown Birkenhead,,
14475.46,22.0,Countdown Auckland City,Countdown Blockhouse Bay,,
17731.81,24.0,Countdown Auckland City,Countdown Browns Bay,,
15588.05,22.0,Countdown Auckland City,Countdown Glenfield,,
14379.66,23.0,Countdown Auckland City,Countdown Greenlane,,
15006.94,24.0,Countdown Auckland City,Countdown Grey Lynn,,
14796.720000000001,21.0,Countdown Auckland City,Countdown Hauraki Corner,,
15893.24,23.0,Countdown Auckland City,Countdown Henderson,,
16366.54,23.0,Countdown Auckland City,Countdown Hobsonville,,
15426.8,23.0,Countdown Auckland City,Countdown Lincoln Road,,
14206.18,22.0,Countdown Auckland City,Countdown Lynfield,,
15415.44,24.0,Countdown Auckland City,Countdown Lynmall,,
17483.07,25.0,Countdown Auckland City,Countdown Mairangi Bay,,
16541.85,24.0,Countdown Auckland City,Countdown Milford,,
14342.01,23.0,Countdown Auckland City,Countdown Mt Eden,,
14028.99,22.0,Countdown Auckland City,Countdown Mt Roskill,,
13979.46,22.0,Countdown Auckland City,Countdown Newmarket,,
15359.35,23.0,Countdown Auckland City,Countdown Northcote,,
14286.33,23.0,Countdown Auckland City,Countdown Onehunga,,
14451.26,23.0,Countdown Auckland City,Countdown Pt Chevalier,,
13430.45,21.0,Countdown Auckland City,Countdown St Lukes,,
15989.84,23.0,Countdown Auckland City,Countdown Sunnynook,,
15441.59,23.0,Countdown Auckland City,Countdown Takapuna,,
15064.310000000001,22.0,Countdown Auckland City,Countdown Te Atatu,,
14631.8,22.0,Countdown Auckland City,Countdown Te Atatu South,,
14578.7,24.0,Countdown Auckland City,Countdown Three Kings,,
14590.76,24.0,Countdown Auckland City,Countdown Victoria Street West,,
12098.880000000001,18.0,Countdown Auckland City,Countdown Metro Halsey Street,,
12430.43,19.0,Countdown Auckland City,FreshChoice Mangere Bridge,,
14806.2,20.0,Countdown Auckland City,FreshChoice Ranui,,
14513.9,19.0,Countdown Auckland City,SuperValue Palomino,,
13510.03,18.0,Countdown Auckland City,SuperValue Titirangi,,
15390.03,23.0,Countdown Birkenhead,Countdown Auckland City,,
13901.76,19.0,Countdown Birkenhead,Countdown Blockhouse Bay,,
16298.18,21.0,Countdown Birkenhead,Countdown Browns Bay,,
13692.23,19.0,Countdown Birkenhead,Countdown Glenfield,,
13804.2,20.0,Countdown Birkenhead,Countdown Greenlane,,
14073.880000000001,21.0,Countdown Birkenhead,Countdown Grey Lynn,,
13363.09,18.0,Countdown Birkenhead,Countdown Hauraki Corner,,
15319.54,20.0,Countdown Birkenhead,Countdown Henderson,,
14973.9,20.0,Countdown Birkenhead,Countdown Hobsonville,,
16744.010000000002,24.0,Countdown Birkenhead,Countdown Kelston,,
14853.1,20.0,Countdown Birkenhead,Countdown Lincoln Road,,
13632.48,19.0,Countdown Birkenhead,Countdown Lynfield,,
14841.75,21.0,Countdown Birkenhead,Countdown Lynmall,,
16049.44,22.0,Countdown Birkenhead,Countdown Mairangi Bay,,
15008.22,21.0,Countdown Birkenhead,Countdown Milford,,
13766.55,20.0,Countdown Birkenhead,Countdown Mt Eden,,
