Duration,Demand,First Stop,Second Stop,Third Stop,Fourth Stop
9651.11,10.0,Countdown Hobsonville,Countdown Northwest,,
5577.8,4.0,Countdown Kelston,FreshChoice Glen Eden,,
7856.72,9.0,Countdown Lincoln Road,Countdown Te Atatu South,,
5905.67,7.0,Countdown Lynfield,Countdown Blockhouse Bay,,
4713.58,4.0,Countdown Lynmall,SuperValue Avondale,,
9168.22,8.0,Countdown Mairangi Bay,Countdown Sunnynook,,
8280.7,7.0,Countdown Milford,Countdown Takapuna,,
6576.88,8.0,Countdown Mt Eden,Countdown St Lukes,,
6341.03,8.0,Countdown Mt Roskill,Countdown St Lukes,,
7232.82,9.0,Countdown Newmarket,Countdown Mt Eden,,
9283.67,10.0,Countdown Northcote,Countdown Birkenhead,,
8664.48,10.0,Countdown Northwest,Countdown Westgate,,
3457.91,4.0,Countdown Onehunga,FreshChoice Mangere Bridge,,
7677.42,10.0,Countdown Ponsonby,Countdown Grey Lynn Central,,
8368.24,11.0,Countdown Pt Chevalier,Countdown Grey Lynn Central,,
6592.35,8.0,Countdown St Lukes,Countdown Mt Eden,,
9184.41,8.0,Countdown Sunnynook,Countdown Mairangi Bay,,
8440.77,8.0,Countdown Takapuna,Countdown Hauraki Corner,,
7626.66,8.0,Countdown Te Atatu,Countdown Te Atatu South,,
8157.01,9.0,Countdown Te Atatu South,Countdown Henderson,,
6521.860000000001,9.0,Countdown Three Kings,Countdown Mt Roskill,,
5606.7300000000005,4.0,Countdown Victoria Street West,Countdown Metro Albert Street,,
8915.11,10.0,Countdown Westgate,Countdown Northwest,,
5602.22,4.0,Countdown Metro Albert Street,Countdown Auckland City,,
3875.5600000000004,0.0,Countdown Metro Halsey Street,Countdown Metro Albert Street,,
5571.7,4.0,FreshChoice Glen Eden,Countdown Kelston,,
3158.8999999999996,4.0,FreshChoice Mangere Bridge,Countdown Mangere Mall,,
6700.570000000001,5.0,FreshChoice Ranui,Countdown Lincoln Road,,
4739.21,4.0,SuperValue Avondale,Countdown Lynmall,,
6972.65,5.0,SuperValue Palomino,Countdown Henderson,,
3928.7799999999997,0.0,SuperValue Titirangi,FreshChoice Glen Eden,,
7494.7,8.0,Countdown Auckland City,Countdown Metro Albert Street,Countdown Victoria Street West,
11000.32,13.0,Countdown Birkenhead,Countdown Northcote,Countdown Takapuna,
6532.98,7.0,Countdown Blockhouse Bay,Countdown Lynfield,SuperValue Avondale,
12277.029999999999,13.0,Countdown Browns Bay,Countdown Mairangi Bay,Countdown Sunnynook,
11944.78,13.0,Countdown Glenfield,Countdown Sunnynook,Countdown Mairangi Bay,
9097.6,13.0,Countdown Greenlane,Countdown Newmarket,Countdown Mt Eden,
9417.54,13.0,Countdown Grey Lynn,Countdown Grey Lynn Central,Countdown Ponsonby,
9339.45,13.0,Countdown Grey Lynn Central,Countdown Ponsonby,Countdown Grey Lynn,
10990.49,12.0,Countdown Hauraki Corner,Countdown Takapuna,Countdown Milford,
7332.92,5.0,Countdown Henderson,SuperValue Palomino,FreshChoice Ranui,
12248.46,16.0,Countdown Hobsonville,Countdown Northwest,Countdown Westgate,
5843.139999999999,4.0,Countdown Kelston,FreshChoice Glen Eden,SuperValue Titirangi,
10918.23,14.0,Countdown Lincoln Road,Countdown Te Atatu South,Countdown Henderson,
6194.99,7.0,Countdown Lynfield,Countdown Blockhouse Bay,SuperValue Avondale,
6516.29,7.0,Countdown Lynmall,SuperValue Avondale,Countdown Blockhouse Bay,
11951.01,13.0,Countdown Mairangi Bay,Countdown Sunnynook,Countdown Glenfield,
10960.74,12.0,Countdown Milford,Countdown Takapuna,Countdown Hauraki Corner,
8981.34,13.0,Countdown Mt Eden,Countdown St Lukes,Countdown Mt Roskill,
8992.07,13.0,Countdown Mt Roskill,Countdown St Lukes,Countdown Mt Eden,
8909.26,12.0,Countdown Newmarket,Countdown Mt Eden,Countdown St Lukes,
12252.68,15.0,Countdown Northcote,Countdown Birkenhead,Countdown Glenfield,
11356.220000000001,15.0,Countdown Northwest,Countdown Westgate,Countdown Lincoln Road,
5722.18,8.0,Countdown Onehunga,FreshChoice Mangere Bridge,Countdown Mangere Mall,
9444.84,13.0,Countdown Ponsonby,Countdown Grey Lynn Central,Countdown Grey Lynn,
10406.02,15.0,Countdown Pt Chevalier,Countdown Grey Lynn Central,Countdown Ponsonby,
