Duration,Demand,First Stop,Second Stop,Third Stop,Fourth Stop
12988.84,19.0,Countdown Pakuranga,Countdown Howick,,
12474.34,19.0,Countdown Pakuranga,Countdown Meadowbank,,
12571.369999999999,19.0,Countdown Pakuranga,Countdown Meadowlands,,
11925.66,20.0,Countdown Pakuranga,Countdown Mt Wellington,,
11805.69,18.0,Countdown Pakuranga,Countdown St Johns,,
11547.92,19.0,Countdown Pakuranga,Countdown Sylvia Park,,
10628.04,15.0,Countdown Pakuranga,FreshChoice Half Moon Bay,,
8958.51,14.0,Countdown Pakuranga,FreshChoice Otahuhu,,
12909.06,19.0,Countdown St Johns,Countdown Aviemore Drive,,
12808.58,19.0,Countdown St Johns,Countdown Botany Downs,,
12528.21,18.0,Countdown St Johns,Countdown Highland Park,,
13597.29,19.0,Countdown St Johns,Countdown Howick,,
12106.04,19.0,Countdown St Johns,Countdown Meadowbank,,
13256.51,19.0,Countdown St Johns,Countdown Meadowlands,,
12141.380000000001,20.0,Countdown St Johns,Countdown Mt Wellington,,
11644.470000000001,18.0,Countdown St Johns,Countdown Pakuranga,,
11765.36,19.0,Countdown St Johns,Countdown Sylvia Park,,
11236.5,15.0,Countdown St Johns,FreshChoice Half Moon Bay,,
9422.21,14.0,Countdown St Johns,FreshChoice Otahuhu,,
12901.119999999999,20.0,Countdown Sylvia Park,Countdown Aviemore Drive,,
12682.39,20.0,Countdown Sylvia Park,Countdown Botany Downs,,
12520.27,19.0,Countdown Sylvia Park,Countdown Highland Park,,
13589.35,20.0,Countdown Sylvia Park,Countdown Howick,,
12361.35,20.0,Countdown Sylvia Park,Countdown Meadowbank,,
13184.55,20.0,Countdown Sylvia Park,Countdown Meadowlands,,
11687.8,21.0,Countdown Sylvia Park,Countdown Mt Wellington,,
11536.04,19.0,Countdown Sylvia Park,Countdown Pakuranga,,
11907.0,19.0,Countdown Sylvia Park,Countdown St Johns,,
11228.56,16.0,Countdown Sylvia Park,FreshChoice Half Moon Bay,,
8692.21,15.0,Countdown Sylvia Park,FreshChoice Otahuhu,,
11066.17,16.0,FreshChoice Half Moon Bay,Countdown Aviemore Drive,,
11386.07,16.0,FreshChoice Half Moon Bay,Countdown Botany Downs,,
10680.57,15.0,FreshChoice Half Moon Bay,Countdown Highland Park,,
11668.23,16.0,FreshChoice Half Moon Bay,Countdown Howick,,
12066.04,16.0,FreshChoice Half Moon Bay,Countdown Meadowbank,,
11542.04,16.0,FreshChoice Half Moon Bay,Countdown Meadowlands,,
11618.18,17.0,FreshChoice Half Moon Bay,Countdown Mt Wellington,,
10597.6,15.0,FreshChoice Half Moon Bay,Countdown Pakuranga,,
11397.380000000001,15.0,FreshChoice Half Moon Bay,Countdown St Johns,,
11240.439999999999,16.0,FreshChoice Half Moon Bay,Countdown Sylvia Park,,
8651.03,11.0,FreshChoice Half Moon Bay,FreshChoice Otahuhu,,
10326.98,15.0,FreshChoice Otahuhu,Countdown Aviemore Drive,,
9843.3,15.0,FreshChoice Otahuhu,Countdown Botany Downs,,
9946.130000000001,14.0,FreshChoice Otahuhu,Countdown Highland Park,,
10819.56,15.0,FreshChoice Otahuhu,Countdown Howick,,
9933.880000000001,15.0,FreshChoice Otahuhu,Countdown Meadowbank,,
10345.46,15.0,FreshChoice Otahuhu,Countdown Meadowlands,,
9307.66,16.0,FreshChoice Otahuhu,Countdown Mt Wellington,,
8961.9,14.0,FreshChoice Otahuhu,Countdown Pakuranga,,
9526.86,14.0,FreshChoice Otahuhu,Countdown St Johns,,
8691.74,15.0,FreshChoice Otahuhu,Countdown Sylvia Park,,
8654.42,11.0,FreshChoice Otahuhu,FreshChoice Half Moon Bay,,
15255.33,25.0,Countdown Aviemore Drive,Countdown Highland Park,FreshChoice Half Moon Bay,
15234.18,25.0,Countdown Highland Park,Countdown Aviemore Drive,FreshChoice Half Moon Bay,
13909.24,26.0,Countdown Mt Wellington,Countdown Sylvia Park,FreshChoice Otahuhu,
15236.630000000001,25.0,FreshChoice Half Moon Bay,Countdown Aviemore Drive,Countdown Highland Park,
11519.84,22.0,FreshChoice Otahuhu,Countdown Mangere East,Countdown Mangere Mall,
8146.91,10.0,Countdown Auckland City,,,
8923.22,10.0,Countdown Birkenhead,,,
6652.3,9.0,Countdown Blockhouse Bay,,,
11200.95,11.0,Countdown Browns Bay,,,
9057.19,9.0,Countdown Glenfield,,,
7089.780000000001,10.0,Countdown Greenlane,,,
8231.380000000001,11.0,Countdown Grey Lynn,,,
6989.64,9.0,Countdown Grey Lynn Central,,,
8265.86,8.0,Countdown Hauraki Corner,,,
8606.94,10.0,Countdown Henderson,,,
9080.24,10.0,Countdown Hobsonville,,,
8474.11,11.0,Countdown Kelston,,,
8140.5,10.0,Countdown Lincoln Road,,,
6254.27,9.0,Countdown Lynfield,,,
6473.24,8.0,Countdown Lynmall,,,
10952.21,12.0,Countdown Mairangi Bay,,,
10011.0,11.0,Countdown Milford,,,
7150.4400000000005,10.0,Countdown Mt Eden,,,
6177.139999999999,9.0,Countdown Mt Roskill,,,
7236.22,9.0,Countdown Newmarket,,,
8828.49,10.0,Countdown Northcote,,,
8317.130000000001,9.0,Countdown Northwest,,,
5924.389999999999,10.0,Countdown Onehunga,,,
8107.92,11.0,Countdown Ponsonby,,,
7498.33,10.0,Countdown Pt Chevalier,,,
6191.3099999999995,8.0,Countdown St Lukes,,,
9458.98,10.0,Countdown Sunnynook,,,
8910.73,10.0,Countdown Takapuna,,,
7778.01,9.0,Countdown Te Atatu,,,
7345.5,9.0,Countdown Te Atatu South,,,
6796.88,11.0,Countdown Three Kings,,,
8479.98,11.0,Countdown Victoria Street West,,,
8453.71,10.0,Countdown Westgate,,,
5865.48,5.0,Countdown Metro Albert Street,,,
5930.9400000000005,5.0,Countdown Metro Halsey Street,,,
5902.16,5.0,FreshChoice Glen Eden,,,
3594.63,6.0,FreshChoice Mangere Bridge,,,
7519.9,7.0,FreshChoice Ranui,,,
4714.1900000000005,5.0,SuperValue Avondale,,,
7227.6,6.0,SuperValue Palomino,,,
5686.87,5.0,SuperValue Titirangi,,,
14104.07,20.0,Countdown Auckland City,Countdown Birkenhead,,
13125.46,19.0,Countdown Auckland City,Countdown Blockhouse Bay,,
16381.810000000001,21.0,Countdown Auckland City,Countdown Browns Bay,,
14238.05,19.0,Countdown Auckland City,Countdown Glenfield,,
13029.66,20.0,Countdown Auckland City,Countdown Greenlane,,
